,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
154,Markieff Morris\morrima02,9,2012,2020,631,16145,2797,6237,522,1516,1134,1457,799,3384,1054,547,347,1011,1814,7250,0.448,0.344,0.778,25.6,11.5,5.4,1.7,Sep 2 1989,Philadelphia
155,Chuck Mrazovich\mrazoch01,1,1951,1951,25,,28,80,,,29,48,,40,13,,,,52,85,0.35,,0.604,,3.4,1.6,0.5,Feb 26 1924,Ambridge
156,John Murphy\murphjo01,1,1947,1947,20,,11,40,,,10,15,,,0,,,,8,32,0.275,,0.667,,1.6,,0,Sep 13 1924,Philadelphia
157,Ronald Murray\murraro01,8,2003,2010,487,11077,1806,4360,328,1079,877,1210,192,1006,1096,404,100,742,795,4817,0.414,0.304,0.725,22.7,9.9,2.1,2.3,Jul 29 1979,Philadelphia
158,Angelo Musi\musian01,3,1947,1949,161,,558,1921,,,243,315,,,117,,,,284,1359,0.29,,0.771,,8.4,,0.7,Jul 25 1918,Philadelphia
159,Jameer Nelson\nelsoja01,14,2005,2018,878,24539,3790,8692,1153,3134,1207,1491,426,2595,4508,772,68,1831,2195,9940,0.436,0.368,0.81,27.9,11.3,3,5.1,Feb 9 1982,Chester
160,Stan Noszka\noszkst01,3,1947,1949,110,,256,913,,,148,222,,,68,,,,271,660,0.28,,0.667,,6,,0.6,Sep 9 1920,Pittsburgh
161,Andy O'Donnell\odonnan01,1,1950,1950,25,,38,108,,,14,18,,,17,,,,32,90,0.352,,0.778,,3.6,,0.7,Mar 10 1925,Freeland
162,Fran O'Hanlon\ohanlfr01,1,1971,1971,14,101,8,22,0,1,6,9,2,4,13,,,22,18,22,0.364,0,0.667,7.2,1.6,0.3,0.9,Aug 24 1948,Philadelphia
163,John Olive\olivejo01,2,1979,1980,35,204,13,42,0,0,18,23,3,20,3,4,0,15,34,44,0.31,,0.783,5.8,1.3,0.6,0.1,Mar 1 1955,Philadelphia
164,Doug Overton\overtdo01,11,1993,2004,499,7275,880,2134,108,339,385,472,140,654,1038,202,19,473,582,2253,0.412,0.319,0.816,14.6,4.5,1.3,2.1,Aug 3 1969,Philadelphia
165,Billy Owens\owensbi01,10,1992,2001,600,17619,2873,5969,82,282,1198,1904,1449,4016,1704,569,321,1310,1761,7026,0.481,0.291,0.629,29.4,11.7,6.7,2.8,May 1 1969,Carlisle
166,Andy Panko\pankoan01,1,2001,2001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,0,0,Nov 27 1977,Harrisburg
167,Barry Parkhill\parkhba01,3,1974,1976,173,3116,418,1048,4,35,130,169,42,224,386,87,30,279,425,970,0.399,0.114,0.769,18,5.6,1.3,2.2,May 10 1951,Philadelphia
168,Lamar Patterson\pattela01,2,2016,2017,40,435,31,95,13,55,18,25,5,57,45,10,2,27,51,93,0.326,0.236,0.72,10.9,2.3,1.4,1.1,Aug 12 1991,Lancaster
169,Geoff Petrie\petrige01,6,1971,1976,446,16787,3970,8719,,,1792,2225,140,1271,2057,247,33,,1075,9732,0.455,,0.805,37.6,21.8,2.8,4.6,Apr 17 1948,Darby
170,James Phelan\phelaja02,1,1954,1954,4,33,0,6,,,3,6,,5,2,,,,9,3,0,,0.5,8.3,0.8,1.3,0.5,Mar 19 1929,Philadelphia
171,Dave Piontek\piontda01,7,1957,1963,413,7623,1194,3054,,,567,869,,1770,478,,,,835,2955,0.391,,0.652,18.5,7.2,4.3,1.2,Aug 27 1934,Bethel Park
172,Tom Piotrowski\piotrto01,1,1984,1984,18,78,12,26,0,0,6,6,6,16,5,1,3,6,22,30,0.462,,1,4.3,1.7,0.9,0.3,Oct 17 1960,West Chester
173,Dave Popson\popsoda01,3,1989,1992,41,196,32,79,0,1,12,16,21,46,13,4,6,20,34,76,0.405,0,0.75,4.8,1.9,1.1,0.3,May 17 1964,Kingston
174,Stephen Previs\previst01,1,1973,1973,30,147,23,60,1,8,8,15,6,14,24,,,13,26,55,0.383,0.125,0.533,4.9,1.8,0.5,0.8,Feb 9 1950,Bethel Park
